id,name,Lat,Long,Total Docks,historic_id,loc_id,distance_to_Sidney_Research_Campus/Erie_Street_at_Waverly,distance_to_One_Memorial_Drive,distance_to_One_Broadway_/_Kendall_Sq_at_Main_St_/_3rd_St,distance_to_MIT_Vassar_St,distance_to_MIT_Stata_Center_at_Vassar_St_/_Main_St,distance_to_MIT_Pacific_St_at_Purrington_St,distance_to_MIT_at_Mass_Ave_/_Amherst_St,distance_to_Kendall_T,distance_to_Kendall_Street,distance_to_Ames_St_at_Main_St,distance_to_building_26,distance_to_building_51,distance_to_building_10,distance_to_baker_house,distance_to_simmons_hall,distance_to_macgregor_house
M32047,Sidney Research Campus/Erie Street at Waverly,42.35775309,-71.10393405,19,184,4235775371103934,0.0,1.9780453294784173,1.78226105810885,0.2392797631089075,1.1572828395752437,0.2966299983877428,0.8829976323389822,1.6437823121815611,1.901392520258813,1.3948648038528952,1.1080283183790214,1.7509702119012192,0.9775548361350788,0.6644217037098238,0.24309702260874397,0.4464829833222484
M32053,One Memorial Drive,42.36161932,-71.08043551,19,228,4236161971080436,1.9780453294784173,0.0,0.2304418161928568,2.044305301461868,0.8826589115973361,1.728915703671347,1.1192695539847552,0.3820386382936026,0.2585237518057619,0.647043541825625,0.8790795810899789,0.2270864262632495,1.0005276934260168,1.40192541780583,1.7650685497817133,1.7437506723697458
M32003,One Broadway / Kendall Sq at Main St / 3rd St,42.36224179,-71.08311072,23,72,4236224271083111,1.78226105810885,0.2304418161928568,0.0,1.8643185877195647,0.6611310525428264,1.5232485181451327,0.9481775297696832,0.1529138250894095,0.165803116160544,0.4207679243368938,0.6748374913242683,0.11648250754805238,0.8101346222692613,1.238574747655413,1.5783375705062477,1.579361811194131
M32042,MIT Vassar St,42.35560121,-71.10394478,53,179,4235560171103945,0.2392797631089075,2.044305301461868,1.8643185877195647,0.0,1.2772711297093076,0.4924243528695459,0.925733208885733,1.7351846438595302,1.9962021707778588,1.502609018226709,1.2023809908226277,1.8191726879552066,1.0552039119561714,0.658171959093634,0.29597688860819144,0.3457985974666181
M32005,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,35,80,4236213171091156,1.1572828395752437,0.8826589115973361,0.6611310525428264,1.2772711297093076,0.0,0.8802596536447544,0.4786231072948282,0.5105740690773035,0.7553712960270237,0.2446881703362847,0.15508877918751893,0.6668931757326336,0.29571388834205414,0.743179316144882,0.9816330030997437,1.0495681235613394
M32041,MIT Pacific St at Purrington St,42.3595732,-71.10129476,19,178,4235957371101295,0.2966299983877428,1.728915703671347,1.5232485181451327,0.4924243528695459,0.8802596536447544,0.0,0.6851521100691066,1.3795672386651188,1.6328495368722806,1.1224817468892068,0.8502011929611868,1.5026178792378628,0.738613122424339,0.5514244364641567,0.2639786188274857,0.5055902850056474
M32006,MIT at Mass Ave / Amherst St,42.3581,-71.093198,31,67,4235810071093198,0.8829976323389822,1.1192695539847552,0.9481775297696832,0.925733208885733,0.4786231072948282,0.6851521100691066,0.0,0.8308582702548155,1.0908489034752196,0.6377036325112537,0.34157462371800656,0.8952729672642655,0.18333165066553708,0.2927752187708639,0.6544367341802969,0.6314238274583506
M32004,Kendall T,42.36242784,-71.08495474,23,189,4236242871084955,1.6437823121815611,0.3820386382936026,0.1529138250894095,1.7351846438595302,0.5105740690773035,1.3795672386651188,0.8308582702548155,0.0,0.2613026241199163,0.2683989190688503,0.5362783244865242,0.20265356595115605,0.6803499276120673,1.1234984952722658,1.4458716519734722,1.46127317454114
M32032,Kendall Street,42.36356016,-71.08216792,15,141,4236356071082168,1.901392520258813,0.2585237518057619,0.165803116160544,1.9962021707778588,0.7553712960270237,1.6328495368722806,1.0908489034752196,0.2613026241199163,0.0,0.5110267791427813,0.795739184768429,0.2748863674068314,0.9415962530727054,1.383169229115176,1.7062874461030957,1.7218210306544703
M32037,Ames St at Main St,42.3625,-71.08822,19,107,4236250071088220,1.3948648038528952,0.647043541825625,0.4207679243368938,1.502609018226709,0.2446881703362847,1.1224817468892068,0.6377036325112537,0.2683989190688503,0.5110267791427813,0.0,0.3051925379049922,0.44199671833463827,0.4646200950444858,0.9255677068075031,1.2088900121752044,1.251710767200618
